eim_slug,PolID,NGA,year,Pop,Terr,Hier,Gov,Infra,Info,Money,log_Pop,log_Terr,z_log_Pop,z_log_Terr,z_Hier,z_Gov,z_Infra,z_Info,z_Money,E,I,E_prev,I_prev,dE,dI,eta_E,eta_I,eta_ratio,collapse_year,formation_year,years_to_collapse,collapse_next_100y,collapse_next_50y,collapse_next_150y
aztec_empire,MxAztec,Basin of Mexico,1500,6.544068,4.448242,5.833333,0.7727273,1.0,0.5384615,0.6886081,2.0207615590763224,1.695292987831305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1520.0,1434.0,20.0,1,1,1
babylonian_empire,IqBabAm,Southern Mesopotamia,-1800,6.348018933,5.653212514,5.0,0.6,0.971428571,0.384615385,0.5,1.994430743969048,1.8950998228318907,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,,,,,,,,-1595.0,-1900.0,205.0,0,0,0
babylonian_empire,IqBabAm,Southern Mesopotamia,-1700,6.348018933,5.653212514,5.0,0.6,0.971428571,0.384615385,0.5,1.994430743969048,1.8950998228318907,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-0.5,0.0,0.0,0.0,-0.0,,,-1595.0,-1900.0,105.0,0,0,1
babylonian_empire,IqBabAm,Southern Mesopotamia,-1600,6.348018933,5.653212514,5.0,0.6,0.971428571,0.384615385,0.5,1.994430743969048,1.8950998228318907,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-0.5,0.0,0.0,0.0,-0.0,,,-1595.0,-1900.0,5.0,1,1,1
cahokia,USMisMW,Cahokia,-100,2.38554,2.144353,1.25,0.0,0.08333333,0.0,0.1666667,1.2195134209675478,1.1456081456180194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1202.5,1037.5,1302.5,0,0,0
cahokia,USMisMW,Cahokia,0,2.38554,2.144353,1.25,0.0,0.08333333,0.0,0.1666667,1.2195134209675478,1.1456081456180194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1202.5,1037.5,1202.5,0,0,0
cahokia,USMisMW,Cahokia,100,2.38554,2.144353,1.25,0.0,0.08333333,0.0,0.1666667,1.2195134209675478,1.1456081456180194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1202.5,1037.5,1102.5,0,0,0
cahokia,USMisMW,Cahokia,200,2.38554,2.144353,1.25,0.0,0.08333333,0.0,0.1666667,1.2195134209675478,1.1456081456180194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1202.5,1037.5,1002.5,0,0,0
egyptian_dynasties_i_and_ii,EgDyn1*,Upper Egypt,-3100,6.0,4.903089987,4.0,0.154545455,0.727272727,0.638461538,0.45,1.9459101490553128,1.7754759404249276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,-2687.0,-3100.0,413.0,0,0,0
egyptian_dynasties_i_and_ii,EgDyn1*,Upper Egypt,-3000,6.0,4.903089987,4.0,0.154545455,0.727272727,0.638461538,0.45,1.9459101490553128,1.7754759404249276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-2687.0,-3100.0,313.0,0,0,0
ilkhanate,IrIlkhn,Southern Mesopotamia,1300,7.110172271,6.579783597,5.5,0.777777778,0.9,0.846153846,1.0,2.093119109701964,2.0254846500383006,0.7071067811865476,0.0,0.0,0.7071067811865466,0.0,0.0,0.0,0.3535533905932738,0.1414213562373093,,,,,,,,1352.5,1280.0,52.5,1,0,1
ilkhanate,IrIlkhn,Susiana,1300,6.720159303,6.579783597,5.5,0.7,0.9,0.846153846,1.0,2.043834998927411,2.0254846500383006,-1.4142135623730951,0.0,0.0,-1.414213562373096,0.0,0.0,0.0,-0.7071067811865476,-0.2828427124746192,0.3535533905932738,0.1414213562373093,-1.0606601717798214,-0.4242640687119285,-3.0,-3.0000000000000044,1.0000000000000016,1352.5,1280.0,52.5,1,0,1
ilkhanate,IrIlkhn,Konya Plain,1300,7.110172271,6.579783597,5.5,0.777777778,0.9,0.846153846,1.0,2.093119109701964,2.0254846500383006,0.7071067811865476,0.0,0.0,0.7071067811865466,0.0,0.0,0.0,0.3535533905932738,0.1414213562373093,-0.7071067811865476,-0.2828427124746192,1.0606601717798214,0.4242640687119285,-1.5,-1.4999999999999991,0.9999999999999994,1352.5,1280.0,52.5,1,0,1
japan_senguko_period,JpSengk,Kansai,1500,7.176091,4.176091,5.166667,0.4444444,1.0,0.3846154,0.8333333,2.1012141635363952,1.6440501381877934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1615.0,1528.5,115.0,0,0,1
jin,CnJinSA,Middle Yellow River Valley,-700,6.128744,5.20412,4.333333,0.84,0.8333333,0.7923077,0.5,1.9641350618259743,1.8252135874869992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,-349.0,-1033.0,351.0,0,0,0
