NGA,PolID,year,Pop,Terr,Cap,Hier,Gov,Infra,Info,Money,uniq,Dupl,SPC1,eim_slug,years_to_collapse,collapse_next_100y,collapse_next_50y,collapse_next_150y
Middle Yellow River Valley,CnWZhou,-800,7.130334,5.929419,5.09691,5.166667,0.85,0.8444444,0.7307692,0.3333333,n,n,3.300369038389223,western_zhou,544.0,0,0,0
Middle Yellow River Valley,CnJinSA,-700,6.128744,5.20412,4.62813,4.333333,0.84,0.8333333,0.7923077,0.5,y,n,2.8159148708528803,jin,351.0,0,0,0
Middle Yellow River Valley,CnJinSA,-600,6.128744,5.20412,4.62813,4.333333,0.84,0.8333333,0.7923077,0.5,n,n,2.8159148708528803,jin,251.0,0,0,0
Middle Yellow River Valley,CnJinSA,-500,6.128744,5.20412,4.62813,4.333333,0.84,0.8333333,0.7923077,0.5,n,n,2.8159148708528803,jin,151.0,0,0,0
Middle Yellow River Valley,CnQingL,1800,8.469822,7.053078,5.949825,7.833333,0.9181818,1.0,1.0,1.0,y,n,5.8881659064391165,qing_dynasty_manchu,111.5,0,0,1
Middle Yellow River Valley,CnQingL,1900,8.532754,7.053078,6.016766,7.833333,0.9181818,1.0,1.0,1.0,y,n,5.925080013841275,qing_dynasty_manchu,11.5,1,1,1
Kansai,JpSengk,1500,7.176091,4.176091,4.60206,5.166667,0.4444444,1.0,0.3846154,0.8333333,y,n,2.6402462515895664,japan_senguko_period,115.0,0,0,1
Basin of Mexico,MxToltc,900,5.243038,4.352183,4.653213,3.333333,0.5111111,1.0,0.3076923,0.5546591,y,n,1.5827923434937072,toltec_empire,250.0,0,0,0
Basin of Mexico,MxToltc,1000,5.243038,4.352183,4.653213,3.333333,0.5111111,1.0,0.3076923,0.5546591,n,n,1.5827923434937072,toltec_empire,150.0,0,0,1
Basin of Mexico,MxToltc,1100,5.243038,4.352183,4.653213,3.333333,0.5111111,1.0,0.3076923,0.5546591,n,n,1.5827923434937072,toltec_empire,50.0,1,1,1
Basin of Mexico,MxAztec,1500,6.544068,4.448242,5.352183,5.833333,0.7727273,1.0,0.5384615,0.6886081,y,n,3.266203551610994,aztec_empire,20.0,1,1,1
Cahokia,USMisMW,-100,2.38554,2.144353,1.60206,1.25,0.0,0.08333333,0.0,0.1666667,y,n,-3.118538191164523,cahokia,1302.5,0,0,0
Cahokia,USMisMW,0,2.38554,2.144353,1.60206,1.25,0.0,0.08333333,0.0,0.1666667,n,n,-3.118538191164523,cahokia,1202.5,0,0,0
Cahokia,USMisMW,100,2.38554,2.144353,1.60206,1.25,0.0,0.08333333,0.0,0.1666667,n,n,-3.118538191164523,cahokia,1102.5,0,0,0
Cahokia,USMisMW,200,2.38554,2.144353,1.60206,1.25,0.0,0.08333333,0.0,0.1666667,n,n,-3.118538191164523,cahokia,1002.5,0,0,0
